Start Date,End Date,Country Name,ISO,Location,Latitude,Longitude,Magnitude Value,Magnitude Scale,Disaster Type,Disaster subtype,Total deaths,Total affected,Total damage ($),Disaster Name,Disaster Year,Disaster No.
24/08/2010,25/08/2010,Viet Nam,VNM,"Nghe An, Thanh Hoa, Ha Tinh provinces",,,230,Kph,Storm,Tropical cyclone,14,20700,44000,MINDULLE,2010,2010-0432
18/10/2010,18/10/2010,Philippines (the),PHL,"Aringuay, Bangar areas (La Union district, Region I (Ilocos region) province), Bolinao areas (Pangasinan district, Region I (Ilocos region) province), Aparri, Claveria, Gonzaga, Iguig, Lasam, Rizal, Santa Aba, Santa Praxedes, Santa Teresita, Santo Nino, Tiao areas (Cagayan district, Region II (Cagayan Valley) province), Dinapigue, Divilacan, San Mariano, Santa Maria (Isabela district, Region II (Cagayan Valley) province), Casiguran, Dilasag, Dinalungan areas (Aurora district, Region III (Central Luzon) province), Bagio City, Itogon, La Trinidad, Tublay areas (Benguet district, Cordillera Administrative region (CAR) province), Pinukbuk, Tabuk areas (Kalinga district, Cordillera Administrative region (CAR) province), Tadian area (Mountain Province district, Cordillera Administrative region (CAR) province)",,,260,Kph,Storm,Tropical cyclone,35,2009026,275745,MEGI (JUAN),2010,2010-0543
22/10/2010,22/10/2010,Myanmar,MMR,"Kyaukpyu, Manaung areas (Kyaukpyu district, Rakhine province), Minbya, Myebon, Pauktaw areas (Sittwe district, Rakhine province), Salin area (Minbu district, Magway province), Seikphyu, Pakokku, Paukkhaung areas (Pakokku district, Magway province)",,,193,Kph,Storm,Tropical cyclone,45,260049,57000,GIRI,2010,2010-0554
1/5/10,2/5/10,Bangladesh,BGD,Mymensingh district (Dhaka province),,,,Kph,Storm,Convective storm,15,50,,,2010,2010-0686
31/10/2010,3/11/10,India,IND,Andhra Pradesh province,,,100,Kph,Storm,Tropical cyclone,22,,,JAL,2010,2010-0693
10/4/10,10/4/10,India,IND,"Mushalpur, Baksa towns (Nalbari district, Assam province)",,,,Kph,Storm,Convective storm,28,5000,,,2010,2010-0694
8/5/11,11/5/11,Philippines (the),PHL,"Bulacan, Zambales districts (Region III (Central Luzon) province), Cebu district (Region VII (Central Visayas) province), Eastern Samar, Leyte, Northern Samar, Samar districts (Region VIII (Eastern Visayas) province), National Capital region (NCR), Region V (Bicol region)",,,,Kph,Storm,Tropical cyclone,37,430092,31259,BEBENG (AERE),2011,2011-0157
20/05/2011,20/05/2011,India,IND,Uttar Pradesh province,,,,Kph,Storm,Convective storm,42,50,,,2011,2011-0176
9/6/11,10/6/11,Philippines (the),PHL,"National Capital region (NCR), Region III (Central Luzon), Region IV (Southern Tagalog), Region IV-A (Calabarzon) provinces",,,,Kph,Storm,Tropical cyclone,9,1152,,DODONG (SARIKA),2011,2011-0203
21/06/2011,25/06/2011,Philippines (the),PHL,"Pangasinan district (Region I (Ilocos region) province), Batangas, Cavite, Rizal districts (Region IV-A (Calabarzon) province), Albay, Camarines Sur districts (Region V (Bicol region) province, National Capital region (NCR), Region III (Central Luzon) provinces",,,120,Kph,Storm,Tropical cyclone,20,1700089,12869,MEARI (FALCON),2011,2011-0231
22/06/2011,26/06/2011,Viet Nam,VNM,"Bac Giang, Bac Kan, Bac Ninh, Cao Bang, Dien Bien, Ha Giang, Ha Nam, Ha Noi City, Ha Tay, Hai Duong, Hai Phong City, Hoa Binh, Hung Yen, Lai Chau, Lang Son, Lao Cai, Nam Dinh, Ninh Binh, Phu Tho, Quang Ninh, Son La, Thai Binh, Thai Nguyen, Thanh Hoa, Tuyen Quang, Vinh Phuc, Yen Bai provinces",,,,Kph,Storm,Convective storm,16,63,,,2011,2011-0232
26/07/2011,27/07/2011,Philippines (the),PHL,"La Pinas area (Metropolitan Manila district, National Capital region (NCR) province), Nueva Ecija district (Region III (Central Luzon) province), Cavite, Quezon districts (Region IV-A (Calabarzon) province), Marinduque district (Region IV (Southern Tagalog) province), Iloilo district (Region VI (Western Visayas) province), Siquijor district (Region VII (Central Visayas) province), Leyte district (Region VIII (Eastern Visayas) province), Ifugao district (Cordillera Administrative region (CAR) province), Region V (Bicol region) province",,,,Kph,Storm,Tropical cyclone,84,1108224,63258,JUANING (NOCK-TEN),2011,2011-0272
4/8/11,6/8/11,Thailand,THA,"Phrae, Chiang Mai, Sukhothai, Nan, Nakhon Phanom, Lamphun, Lampang, Mae Hon Son, Uttaradit, Phichit, Phitsanulok, Udon Thani, Nong Khai, Sakon Nakhon Loei, Phetchabun provinces",,,,Kph,Storm,Tropical cyclone,18,1000000,,JUANING (NOCK-TEN),2011,2011-0272
2/8/11,2/8/11,Philippines (the),PHL,"Mandaluyong, Marikina, Quezon, San Juan cities (Metropolitan Manila district, National Capital region (NCR) province), Japalit area (Pampanga district, Region III (Central Luzon) province), Paniqui area (Tarlac district, Region III (Central Luzon) province), Calatagan, Malvar areas (Batangas district, Region IV-A (Calabarzon) province), Antopolo City, Rodriguez, San Mateo areas (Rizal district, Region IV-A (Calabarzon) province)",,,165,Kph,Storm,Tropical cyclone,11,8423,59,KABAYAN (MUIFA),2011,2011-0279
